comment_text,likes,replies,Analysis_comments
seeing those teeth every time just makes me feel like I'm chewing on somthing LOL #getridofit,0,0,Neutral
this foundation is so yellowish ..,0,0,Neutral
all the products are horrible,0,0,Neutral
Omg I love love your flower collar Dina  Where is it from?,0,0,Neutral
"Definitely going to purchase the foundation and highlighter, but the contour brush does pick up a LOT of product. If you use the foundation brush she came out with it won't pick up as much product (based on a lot of the videos I've seen thus far)",0,0,Neutral
I'm a new subscriber and o love ur channel ,1,0,Neutral
l think you are one of the few youtubers who actually look amazing without makeup its like you inner light shines thru,1,0,Neutral
I love your hair. _,1,0,Neutral
Did she just lick the primer packaging.,0,0,Neutral
That foundation is a Y when you are clearly an R nnTry something a bit more pale,0,0,Neutral
"I don't need to catch the light, it's catching it for me. Lmao.",0,0,Neutral
This video gave me life I love you so much Dina this video was perfect,0,0,Neutral
the color of the foundation is tooo dark for you,0,0,Neutral
You are such a delight to watch. Enjoyed your review.,0,0,Neutral
You are such a ray of sunshine  loll  with or without trophy queen.,0,0,Neutral
This is the primer. This is like a sophisticated candy. _,0,0,Neutral
This makeup looks great on you   Your skin is glowing...,0,0,Neutral
That shit looks hella cakey,0,0,Neutral
"Trophy wife looks amazing on you, you look sooo glowy",0,0,Neutral
You look yellow sis x,0,0,Neutral
I need this makeup nowwwww ,0,0,Neutral
Yo nBrooonMate hahaha dina you aussie accent,0,0,Neutral
GODDDD YOU ARE SO CUTE,0,0,Neutral
lovinggg these productsss,0,0,Neutral
Honestly think ur teeth look great,0,0,Neutral
Dina you are flippin amazingnFollow @foreverdina_tokionInstagram,1,0,Neutral
You look like one of the rich people from the hunger games (in a good way) tis mega cool ,0,0,Neutral
I love ur colour where do u get it from,0,0,Neutral
Do a I'm gonna need details of where to purchase that collar necklace you have on asap?,0,0,Neutral
sentence of the week: am i imagining things??,0,0,Neutral
I thought it was too yellow at first but I once she finishes everything it looks really good. So glad Fenty beauty is Dina approved,0,0,Neutral
Anyone know what brush is used for the foundation ?,0,0,Neutral
I've never seen any your videos before you are absolutely hilarious hahaha and incredibly beautiful :),0,0,Neutral
Dina I think you're probably a 190,0,0,Neutral
"Cat piss...I don't know what this video is about, I just wanted to write cat piss somewhere.",0,0,Neutral
Thank you for always putting a smile on my face even when I don't feel like it ,0,0,Neutral
P.S. you look STUNNING with this hijab style and your hair at the front This is how I wear mine too,0,0,Neutral
Love the positive vibes Was praying for her to mix the two foundations lol,0,0,Neutral
... I think that Foundation is too dark or yellow for you...,0,0,Neutral
"Love you, love this, I need some fenty in my life",0,0,Neutral
Some of the packaging especially the primer reminds me of Suqqu packaging,0,0,Neutral
ABSOLUTELY LOVE DINA AND OMG THIS IS TRENDIIINNGG,0,0,Neutral
I f#*kin love you And NOT cuz I'm a lezboUr funny as hell and I genuinely enjoyed the review,0,0,Neutral
this is #28 on trending,0,0,Neutral
Oh I love you Dina ,0,0,Neutral
Bitch go wear ur scarf right. Either u wear it or u don't,0,0,Neutral
That outfit tho love it Do a new look book for fall please,0,0,Neutral
THIS IS THE BEST REVIEW EVER わわわわ_,0,0,Neutral
Love the whole look and outfit stunning hair color わわわ_keep going dina,0,0,Neutral
This was wildly entertaining.nIt had nothing to do with the make up. Subscribed,0,0,Neutral
Please make a small donation towards the people of Rohingya  Allah accept your donation and reward you _わ_,0,0,Neutral
is it me or does the packaging look very similar to Kim K's?,0,0,Neutral
Your voice is so soothing ,0,0,Neutral
Why dont you cover all your hair? ;),0,0,Neutral
Sad to see Dina slowly becoming a sell out.. An just doing/saying what shes told,1,0,Neutral
What did you do to your teeth? You look weird,0,0,Neutral
You look like annoying orange with that foundation colour & what's the point if I can see all your pimples. Tbh it looks shit,0,0,Neutral
"You need to drink a lot of water, ause there so many pimples on your forehead or probably you use a wrong scrub? _",1,0,Neutral
Can ppl stop saying her foundation is dark she said it was a little dark for her but the other one is too light,1,0,Neutral
OMG you are so hilarious #webestfriendsinmyhead LOL,0,0,Neutral
Great review,0,0,Neutral
_,0,0,Neutral
Cada vez se deja ver m谩s cabello... Ya mejor qu铆tate el pa帽uelo,0,0,Neutral
Yessss girl_解_锔,0,0,Neutral
7:05 KKW INDIRECT LOOOL  TRUE THO,0,0,Neutral
PRANK SID BY TELLING HIM YOUR SEEING SOMEOME ELSE ,0,0,Neutral
Your teeths  I notice it ,0,0,Neutral
Omg Dina  Darling what happened to your skin  ?,0,0,Neutral
HIIIII GUYYYYYSSSSSS,0,0,Neutral
Ayyyayayay,0,0,Neutral
Full enjoyed this:),0,0,Neutral
Next purchase: Fenty highlighter in trophy.. WHATEVER ,0,0,Neutral
Her reaction annoyed me so much  instead of listening she doing weird reactions gosh,3,0,Neutral
"He's so lucid an woke, and that's great. The only thing to worry about is that he's talking from the point of view of someone who is lost. He thinks he's doomed. Maybe he did something really bad in the past.",0,0,Neutral
People think this man is crazy because he's telling you guys there's no meaning to bullshiticons fairytale stories we are collateral damageand the quest for world domination,0,0,Neutral
Love how that woman just habitually shoots down any opinions that aren't hers,0,0,Neutral
"I'm on board with JC. He's not crazy, go fuck yourself.",0,0,Neutral
I'll have to try the tetrahedron defence if I ever wind up in court.,0,0,Neutral
"Jim is actually acting ridiculous here to express his pointnThat's why he fades in Hollywood, he is pursuing something more spiritual.nWe can sense that since he got the beard",0,0,Neutral
Jim is a weird in his own way which is awesome but we do matter and it is our earth given to us,0,0,Neutral
This is called Depression,0,0,Neutral
Only few people made change but most of then made money.,0,0,Neutral
He's right though we don't matter or things would be different.nWay 2 stick it 2 THEMAN,0,0,Neutral
"If you call out the bullshit, Youre crazy. nnNothing matters. Only love",0,0,Neutral
"To be honest I don't blame him, he's been through so much the last  few years. He is just seeing things on a different conscious level",0,0,Neutral
Thats another one of Hollwoods greats gone to shit. What the hell happened to him :(,0,0,Neutral
Jim knows things most don't.,0,0,Neutral
Glorious interview. This is a man that knows how to be on fire.,0,0,Neutral
"The reporter takes it as a joke, but he's deadserious about what he said",0,0,Neutral
Fuck E Jim Carrey over E And it's shitty shows any day of the week.,0,0,Neutral
Okay Jim Carrey if nothing matters GIVE ME YOUR MILLIONS,0,0,Neutral
"I love Jim. I'd like to think the reporter was just taken aback by his response, and was not trying to be rude. Even if she agreed with his thoughts about Hollywood being meaningless she would probably lose her job if she openly agreed.",0,0,Neutral
"You know you are deep into the shithole when you need an overrated, exagerated celebrity to tell you what the rest of us have known forever. Also, next to an E reporter, even this asshole looks deep and mystic.",0,0,Neutral
He's on another level. He's fucking awesome.,0,0,Neutral
i get what hes saying and i back him but he obviously cares enough to show up and dress up for it. seems like hes trying to be the too cool guy.,0,0,Neutral
I agree to with the point we don't matter,0,0,Neutral
The fact that he's right.... frightens me.,0,0,Neutral
"jim carrey lost it, became a boring socialist hippy",0,0,Neutral
It's not entirely stupid actually .. that We are a field of energy dancing for itself might be a very accurate description of reality. A lil meta tho ...,0,0,Neutral
"Jim carrey is the man,  icon is sucks",0,0,Neutral
"Truth bombs, love it .We're all just farts in the wind",0,0,Neutral
Good words from a person that lives it,0,0,Neutral
FINALLY. ... Someone puts Fashion where it deserves to be. ... MEANINGLESS is an understatement. ... Fashion is a Giant Wheel of Pretentious Horseshit spun by worthless pretentious ASSHOLES.,0,0,Neutral
I could listen to everything he has on mind the whole day and night.,0,0,Neutral
I don't mean to be rude here but I think the only thing the New reporter should be focusing on it her greasy hair. Can't stand news reporters like these ^.,0,0,Neutral
"If true happiness exists it should reflect the limitless void. There is nothing in me, and in you.",0,0,Neutral
"Jim Carrey has been on a spiritual search for decades. He's likely by now had some significant breakthroughs  some aha moments. When that occurs, much of what was once considered significant is revealed to be trivial. And it can look EXACTLY like mental illness. When, in fact, it might be he's the only sane one in the whole bunch. All that glitters is not gold.",0,0,Neutral
Holy crap he's old,0,0,Neutral
knowing that nothing matters is a way for depressed people feel purposeful,0,0,Neutral
You retards realise this is her job right? Just because it's a shitty job doesn't mean she is going to disrespect it. nnWhen you people get a job one day maybe you will understand that people like her probably can't afford to ruin her career by going along with him carrey's fuck it attitude,0,0,Neutral
He's been watching too much Rick and Morty...,0,0,Neutral
Jim Carrey goes through his teenager existential phase late.,0,0,Neutral
Yes we are a field of energy as we make energy and use it....  Cars make energy... Yet they charge us to use them lol Fuel slaves... Yes we make the energy that runs the world and they charge us... Cars don't need gas that's why gas evaporates,0,0,Neutral
Jim:*makes introspective deep philosophical speech on how everything is meaninglessnReporter. But your wearing a suit,0,0,Neutral
This is a reasonably creative Stella Artois commercial,0,0,Neutral
"There have been people concerned that Jim Carrey is losing it or has become jaded, but the truth of the matter is much more simple:  He chose the wrong place to trip on psylocybin (magic) mushrooms.  Look at his past inspirational musings, how he focused on the smells midconversation, and then started to explain reality as though he were not part of it.  If it wasn't mushrooms then it was something else altering his perception.  Given his inflated stature (celebrity) and how public his life is, I genuinely hope he sticks to the safe drugs like DMT, mushrooms, and cannabis.",0,0,Neutral
He needs to be the next Green Goblin,0,0,Neutral
"Jim is so awesome He is embracing what many know yet are scared to articulate. His trips in the forest have placed him on a plane unconstrained by the constructs of society. I have no doubt that this man will inspire a following of similar thinkers. Reminds me a lot of the philosophy, absurdism. And as any great absurdist would say, Nothing matters We should embrace it.",0,0,Neutral
"I grew up on Jim Carrey but he is a colossal piece of shit, we will be reading about him killing himself in the next few years.",0,0,Neutral
"So if he's too cool for school, why is he there?? And where does he get off standing behind her and touching her like that. This makes me think he's a creep. She's just doing her job, decline the interviw.",0,0,Neutral
Too clever for E and its regular viewers to ever fathom XD,0,0,Neutral
That bitch is acting like WTF is he saying but he is just saying true.,0,0,Neutral
The emporer had no clothes...but he is wearing a cool jacket.,0,0,Neutral
This man's message woke me up.,0,0,Neutral
EVERYONE: Jim is has been taking a shit ton of mushrooms to prepare for his role as Terrance McKenna and it seems he's actually waking up to a lot of his philosophy.,0,0,Neutral
This reporter is annoying as fuck,0,0,Neutral
Jim just find the true.,0,0,Neutral
too much Twin Peaks. I can dig it,0,0,Neutral
"There is only so much you can fake.nnJim's tired of the fakeness around him, and he'll gladly lay it all down. You either open your ears or continue to close your eyes.",0,0,Neutral
I want the same drugs that Jims got.,0,0,Neutral
he's the only sane person at this event.,0,0,Neutral
lol now that was a crack up and he was on point lol.,0,0,Neutral
Jims a legend when the media attack people this is what happens and he's saying the truth,0,0,Neutral
He has totally lost it.,0,0,Neutral
"Do your research on the effects of television and who controls the television stations. 6 years ago I through my TV in the trash and haven't looked back. If you're still watching TV, you're being systematically dumbeddown.",0,0,Neutral
that reporter is so superficial and dumb,0,0,Neutral
What he said is so vague that people in the comments are just filling in the blanks with their own projections of conspiratorial mindsets. I think the real people being trolled are right here in the comments.,0,0,Neutral
"He's not crazy. He's able to see through the fakes and what really is important to him without caring what people say. Unfortunately, it's a lesson we learn much too late in our lives.",0,0,Neutral
Damnnnn Jim's on the non duality tip,0,0,Neutral
Kekistani Ministry of Culture supports this man.,0,0,Neutral
"His my hero rn , its nice to know im not alone",0,0,Neutral
"He looks like he's really sick and tired of not just Hollywood, but of the world we live in. That makes us 2, heh.",0,0,Neutral
I just spent the last 30 mins researching tetrahedrons thanks to this man,0,0,Neutral
"What does he truly believe, i need a little insight here thanksnI still think it's nihilism, but i'm not 100 percent sure",0,0,Neutral
"Didn't expect an existential discussion on the nonexistence of the self and the illusion of the ego at Fashion Week, did she?",1,0,Neutral
"E You have the nerve to say he sounded off?? Jim Carrey has always thought like that,people just didn't pay attention,they got distracted with his Talent to make people Laugh.",1,0,Neutral
"''I don't care, we don't matter and that's a good news'' Jim :D",1,0,Neutral
"Finished with my woman 'cause she couldn't help me with my mindnPeople think I'm insane because I am frowning all the timenAll day long I think of things but nothing seems to satisfynThink I'll lose my mind if I don't find something to pacifynCan you help me, occupy my brain?nnOh yeahnI need someone to show me the things in life that I can't findnI can't see the things that make true happiness, I must be blindnnMake a joke and I will sigh and you will laugh and I will crynHappiness I cannot feel and love to me is so unrealnAnd so as you hear these words telling you now of my statenI tell you to enjoy life I wish I could but it's too late ",1,0,Neutral
_卸懈屑屑懈 邪薪芯胁懈_ 泻懈屑 ),0,0,Neutral
WoW ,0,0,Neutral
Love it. Fk celeb culture.,0,0,Neutral
Illuminati detected.,0,0,Neutral
does she shave her forehead?,0,0,Neutral
shes so stupid ,0,0,Neutral
Cocain is amazing,0,0,Neutral
Too much rick and morty,0,0,Neutral
For anyone confused: ,0,0,Neutral
I agree.,0,0,Neutral
"Carrey nails it, totally and succinctly.",0,0,Neutral
He's perfect,0,0,Neutral
STAY Woke yessssssss James lmfao OMG YES.,0,0,Neutral
just,0,0,Neutral
WOKE,0,0,Neutral
Woke,0,0,Neutral
Suicide alert ,0,0,Neutral
Nice trolling,0,0,Neutral
based jim,0,0,Neutral
Jim Carrey is my nigga,0,0,Neutral
drugs,0,0,Neutral
Jim Carrey woke af,0,0,Neutral
jim buddy.. whats goin on?,0,0,Neutral
Someone has been reading Descartes.,0,0,Neutral
Nicki's a tired act now. Should've got *Amber Rose.* For just the video I mean. Amber behind the wheel of a slick ride should be the expected sort of scantily clad female eye candy in these sexy types of music videos.,0,0,Neutral
Did she name drop Seth rogan as Seth ro?,0,0,Neutral
"Hello guys I just wanted to say that I do song covers on my channel, in case you're interested_I'm having some issues right now, but I will get back on track soon, hopefully_Sorry for the selfpromotion, when you're a small channel it's pretty hard getting your content out there_Thank you from Italy :) <3",2,0,Neutral
Go back to the Black Eyed Peas fergie...,0,0,Neutral
Inspiration from Madonna's Die another day? Fergie = musically irrelevant as always.,0,0,Neutral
Black latex outfits reminding me a little of the Madonna Human Nature video...,0,0,Neutral
"I love Nicki and Fergie, but this song is so cringe, it makes Vanilla Ice look like James Dean.",0,0,Neutral
"nicki's verse should put in when the song is about to end like 2 verse before so this song is not boring eitherway, well done tho",0,0,Neutral
"I'll be honest, though I love both artists, this song has some weird pacing issues and doesn't seem that radio friendly",0,0,Neutral
This song makes me feel like I a somebody,0,0,Neutral
Is there a song where nicki is not featuring?,0,0,Neutral
Love it. Fergie gets down like herself. She isn't TRYING TO BE BLACK when she raps. She always had a funky flow.,0,0,Neutral
Can I get some likes for no reason,0,0,Neutral
The first few verses sound like Aluna George in you know you like it,0,0,Neutral
Most clothing Nicki has ever worn on a video ,0,0,Neutral
FERGIE IS FUCKING BACK YALL I'M SO READY FOR THIS ALBUM,0,0,Neutral
What a montage of ripped off shit.,0,0,Neutral
Eww Fergie stay away from the high notes or use autotune lol,0,0,Neutral
I wish there was a list of what artists wear and where you can buy the clothes.,0,0,Neutral
I don't like this very much.,0,0,Neutral
oh come on fergie.. you can do better....,1,0,Neutral
I know u fucking lying FERGIE is that bitch dnt u forgot _,0,0,Neutral
Nicki with a lot of Clothes  Wow,0,0,Neutral
I don love Nicki but this is a good collaboration.,0,0,Neutral
i came here for Nicki Minaj but second girl is also disaster wow.,0,0,Neutral
I see this song in the background of tv commercials like target/jcpenny,0,0,Neutral
Probably the most appropriate thing Nikki has everrr worn ,0,0,Neutral
That little pat she did at 1:51 with that face KILLED me,0,0,Neutral
GARBAGE another mid 2000 artist that flops nasty....Internet wins again ur industry is dying,0,0,Neutral
does she try to be madonna?,0,0,Neutral
The look at 1:10 is FIRE,0,0,Neutral
who's else there just for Nicki_,0,0,Neutral
whos this old bitch ?? she should be retired lmao,0,0,Neutral
Wait nicki Minaj was actually present at the shoot???,0,0,Neutral
uhhhh what's up with songs like look what you made me do swish swish bish and this???  just so quiet?? it's almost just a voice. all it has is a subtle beat. there's no buildup and its just boring imo ,0,0,Neutral
Honestly no... if it wasn't for nicki this wouldn't even make it in the radio.,0,0,Neutral
Fuck Justin he would not take a pic with a disabeld person,0,0,Neutral
can't believe she's 40 years old,0,0,Neutral
This is actually pretty good,0,0,Neutral
Some women really get super hot in their 40s. I'm pretty damn jealous of her husband....,0,0,Neutral
Surprised the made a vid for this. Tbh. Whiskey,0,0,Neutral
Wow this is so bad,0,0,Neutral
"I like fergie, but this song is so boring",0,0,Neutral
These women are straight working_す_锔,0,0,Neutral
Tell me I am not the only one thinking she looks more and more like michelle pfeiffer?,0,0,Neutral
"I like this Go Fergie, so much better than MILF loving this jam. _",0,0,Neutral
"this is 90's, this is fashion, this is quality...my GODnn a breath of originality . uff FERGIE this IS you nand Nicki amazing see you dressing",0,0,Neutral
Her voice isn't Auto tuned and it's great,0,0,Neutral
I really hope this song make it into the top 10 ,0,0,Neutral
the most normal 'rap' scene with nicki in a while,0,0,Neutral
Who's here because of Seth Rogens tweet? Lmao,0,0,Neutral
Make sure to  mute the volume from 0:00 to 4:16 to reduce the chances of your ears bleeding,0,0,Neutral
This sounds exactly like 'You Know You Like It' by Dj Snake.,1,0,Neutral
Every song Nicki Minaj is in These bitches is my sons,1,0,Neutral
"Lyrics from Warm It Up Kane, Set It Off, _and beat by Rob Base & DJ EZ Rock  It Takes Two",1,0,Neutral
It's so bad.,0,0,Neutral
"Tbh this is too repetitive and boringnI don't hate Fergie, but in my opinion I don't like this song",1,0,Neutral
"I'm here before 1,570,00 views REMEMBER ME",1,0,Neutral
not even queen nicki could save this song,1,0,Neutral
Fergie the queen is back,0,0,Neutral
im only here for nicki minaj,0,0,Neutral
Nicki here is so herself_,0,0,Neutral
Um,0,0,Neutral
message vide,0,0,Neutral
Azealia Banks much?,0,0,Neutral
Careers on deathrow DAMN.,0,0,Neutral
Fergie ferg..keep showing them titties baby,0,0,Neutral
Alicia thinks you are weard,0,0,Neutral
I'm shook all my wigs are dead nicki yasss queen,0,0,Neutral
Fergie can actually rap lol,0,0,Neutral
Crap,0,0,Neutral
Garbage,0,0,Neutral
Rrrrrrrrrrrrrr Foreverrrrrr ,0,0,Neutral
Yeah,0,0,Neutral
nossa meu anjo q clipe ruim,0,0,Neutral
